0036,20000938,2231274,9MM1279,Description0920,Home0832,ID0934,Listed0891,Listed1222,Since1227,ads1243,file_name,listed1241,org1609,total0940
.223,148,(160 views)   LMT .308 AR  (160 views),156,"I just got my new shipment of ammo for the year, and Im selling off the ammo thats been in my safe for the year. I got 2000 rounds of new lake city and ill sell 500 for $250 or 1000 for $500. Give me a call with questions or offers, if its a good enough offer ill sell them",Ammunition,"""http://www.hawaiiguntrader.com/ad-tag/223/"" rel=""tag"">.223   ammo   Hawaii   xm193","January 3, 2014 8:14 pm",rangeryoung,"January 3, 2014",by this poster found.,0D90D085C3D19D07597C40BF908BBE4B8C2BE7F623DF7B054AC54CF92C28D261.html,No other,2015,22
TRADE for Glock 17 Mag,138,(160 views)   LMT .308 AR  (160 views),156,Completely FREE!       Top Ads    .223 ammo  (160 views)   LMT .308 AR  (160 views)   Beretta PX4 9MM  (156 views)     Meta      Register     Log in     Entries  RSS      Comments  RSS      WordPress.org              2015 Hawaii Gun Trader. All Rights Reserved,Barter,"""http://www.hawaiiguntrader.com/ad-tag/beretta-magazine-magazines-glock-17-9mm/"" rel=""tag"">Beretta Magazine Magazines Glock 17 9mm","September 17, 2013 11:52 pm",Ryan,"June 6, 2013",by this poster found.,2166598147720119C19250A3C583F8E3BD660F93BA54A127120763E8D065DFD8.html,No other,2015,19
.223 ammo,160,(160 views)   LMT .308 AR  (159 views),155,Completely FREE!       Top Ads    .223 ammo  (160 views)   LMT .308 AR  (159 views)   Beretta PX4 9MM  (155 views)     Meta      Register     Log in     Entries  RSS      Comments  RSS      WordPress.org              2015 Hawaii Gun Trader. All Rights Reserved,Ammunition,"""http://www.hawaiiguntrader.com/ad-tag/ammo/"" rel=""tag"">ammo","October 8, 2014 4:49 am",alikak.,"October 8, 2014",by this poster found.,36E42480A7AEC0C32208C06F965B5C0F0F672F7DBADBEBDB544DD9451A8445AF.html,No other,2015,22
Federal 9mm Hollow Point,98,(161 views)   LMT .308 AR  (161 views),157,"12 boxes (50 rounds per box) of Federal Tactical HST 9mm 124 grain +P hollow point duty ammo. The highest rated 9mm ammo based on ballistic testing. Based on FBI Ballistic testing, it outperforms the 124gr Federal HST (Non +P) and all Speer Gold Dots HP in any bullet weight. Federal supplies these hollow points exclusively to Law Enforcement/Government agencies. It is not illegal for civilians to own, but it is very difficult to obtain. Buyer must pick up in person at mutually agreed upon location. Buyer must have a government issued ID and sign statement attesting to buyers eligibility to purchase ammunition IAW federal and Hawaii state laws. Interested parties call 714-749-0019            Ad Reference ID:  N/A            9mm ammo    98 total views, 12 today                             Leave a Reply      Click here to cancel reply",Ammunition,"""http://www.hawaiiguntrader.com/ad-tag/9mm-ammo/"" rel=""tag"">9mm ammo","June 30, 2013 7:55 am",scully10,"June 30, 2013",by this poster found.,4EB73895EC946EFF04BE4F7FDBB4DA7AA1C9CF7A5E5FFE36C2280DF8695AFED1.html,No other,2015,12
.22 Long Rifle Ammo (325 rounds),147,(160 views)   LMT .308 AR  (160 views),155,For sale is a new (Never Opened) box of 325 rounds .22 Long Rifle Ammo,Ammunition,"""http://www.hawaiiguntrader.com/ad-tag/22-long-rifle/"" rel=""tag"">.22 Long Rifle","April 19, 2014 6:10 am",harleycoastie,"April 19, 2014",by this poster found.,572175DF85843805AC0F3DF5BDAD0D37C9038E82829E224D59583C00A4E8E57F.html,No other,2015,19
"HK45 with Night Sites, extra Magazines and Holster  Lowered Price!",,,,"Hello, I have a new condition HK45 with night sites. I have put about 500 rounds through this gun. This is the most reliable gun I have ever fired. The gun comes with 3 total magazines, and a holster.  I thoroughly cleaned the gun after every use.  The gun by itself was $1200 new. Magazines and holster were about another $200.  If you are looking for a great range gun, or home defense, this is the gun for you.  Please give me a call if you are interested.  Thanks,  673-3561       No Tags   241 total views, 19 today          Listing ID:  8045614b24453ac4          Report problem      Processing your request, Please wait...",,,"October 7, 2015 5:50 am    Expires:  357 days, 19 hours",triggerhappy,"October 7, 2015",by this poster found.,5B32A5B10E8CF4452E7BA309CFD040944860645EAA8AB2739835F5DD4A051337.html,No other,2015,
HK 45C NIB,105,(160 views)   LMT .308 AR  (160 views),156,Completely FREE!       Top Ads    .223 ammo  (160 views)   LMT .308 AR  (160 views)   Beretta PX4 9MM  (156 views)     Meta      Register     Log in     Entries  RSS      Comments  RSS      WordPress.org              2015 Hawaii Gun Trader. All Rights Reserved,Hand Guns,"""http://www.hawaiiguntrader.com/ad-tag/45/"" rel=""tag"">.45   HK   Pistol","July 10, 2013 10:19 am",Precision Arms Hawaii,"July 10, 2013",by this poster found.,6BCEC3B4579FE2BDE9F8982C99BDDF34361A1CD4F24DE0096D215CE2BDAB7419.html,No other,2015,13
Remington 700 SPS Tactical .308,103,(160 views)   LMT .308 AR  (160 views),156,"Call or text if interested. 808-237-0930, buyer must have hawaii long gun permit",Rifles,"""http://www.hawaiiguntrader.com/ad-tag/remington/"" rel=""tag"">Remington","July 18, 2013 6:48 pm",kazu96744,"July 18, 2013",by this poster found.,8AF0B114BF6772B9771E10F63146FECC349F513E4200BCA3A93E85AF2A76D578.html,No other,2015,14
TulAmmo,109,(160 views)   LMT .308 AR  (160 views),156,"Selling a 1,000 round case of 7.6239 TulAmmo 600.00 if interested call  220-6372           Ad Reference ID:  N/A            7.62x39    109 total views, 15 today                             Leave a Reply      Click here to cancel reply",Ammunition,"""http://www.hawaiiguntrader.com/ad-tag/7-62x39/"" rel=""tag"">7.62x39","June 20, 2013 6:36 pm",mo743,"June 17, 2013","/sig-p210-limited-edition/"">Sig P210 limited edition",9359A90F9824FE4D4E04CE6C168FD57B8CEC5E85508BE484B32A076333B28EDF.html,,2015,15
Beretta PX4 9MM,156,(160 views)   LMT .308 AR  (160 views),156,Completely FREE!       Top Ads    .223 ammo  (160 views)   LMT .308 AR  (160 views)   Beretta PX4 9MM  (156 views)     Meta      Register     Log in     Entries  RSS      Comments  RSS      WordPress.org              2015 Hawaii Gun Trader. All Rights Reserved,Accessories,"""http://www.hawaiiguntrader.com/ad-tag/9mm/"" rel=""tag"">9mm   Beretta   PX4","April 2, 2014 3:46 am",amanforchrist,"April 2, 2014","/lwrc-m6a2/"">LWRC M6A2",95EE024E60A5548355C007BD0710D91A09A807D371A789ED9FA3802A687C7B50.html,,2015,21
