0036,2755e323b707ee31026,Barry1352,Code0964,Description1013,Expires0976,Guns0550,Handguns0471,ID1019,Listed0971,Listed1334,Post0929,Recurve0789,Rifles0572,Since1339,Street0950,Us1790,days0978,file_name
35 Whelen Handi-Rifle,No Tags,No other ads by this poster found.,39232,"35 Whelen Handi-rifle. Black synthetic stock/forearm, blued barrel.   Text 601-813-7280",82,13,12,245625390711756,"October 19, 2015 12:43 pm",Donkey,200,,12,"October 19, 2015",,2015,12,1578670E643B6B477203B810C8E7AE0D811CE0CBF846FC060283261F89CB916B.html
Cabelas Millenium Revolver in .45 colt,No Tags,No other ads by this poster found.,38655,This single action is built to shoot and is a great way for any level of shooter to get involved with a single action. It was inherited from my grandfather who bought it new. Well taken care of and less than 500 rounds have been shot through it. Has a matching holster and I will throw in 125 rounds as well. Two boxes of 50 and a bag of 25. It is chambered in .45 colt and is a single action army replica.,2,17,15,12155a1a2938bc1e,"July 11, 2015 5:17 pm",rebsfan99,250,,16,"July 11, 2015",1711 Anderson Rd,2015,14,1CCD12A07A0798FB8E4633EF5EF55241F2162FBDD3B10975A3A15CF768C4B63E.html
swap stocks,No Tags,reloading brass,39648,want to trade butler creek folding stock for black stock  ruger mini stock folder by butler creek  will swap even for full rifle stock,75,17,15,5815600fd181fe3b,"September 22, 2015 1:05 am",gundoctor,,,16,"October 19, 2014",white,2015,8,1D9DF9E460F89F0C83D78FD70AC6CA61E1D9B0DBF67A7B4EFC1B7C92BD3DB5FC.html
British Lee-Enfield No 4 MK 2 still in Cosmoline,No Tags,FHN Scar 16L Black Nato 5.56 new in box,39042,"British Lee-Enfield Number 4 Mark 2 caliber 303 in box. Purchased many years ago. I have never fired. Still has cosmoline in barrel and bolt. Bayonet still in cosmoline. Markings are #4 MK 2 (F) 1/55 with PF339 as first 5 digits of serial number. As you can see from the photos stock is in excellent condition with no marks with brass stock plate. Located in Brandon, Mississippi",19,12,13,68155c13de2f2532,"August 4, 2015 4:38 pm",cam5545,700,,12,"June 22, 2015",,2015,14,1F75791CF9938FC3FB1323AA85BBFC04EEE2381180785CB50857DB70BBD0F9DA.html
smith  wesson,No Tags,No other ads by this poster found.,39216,SW 629 Classic 44 Mag 6.5 with Bushnell High contrast scope mounted with B-Square mount. Standard rear sight is also included. BKB serial # prefix puts it around a 1991 manufacture from what I could find. Has some wear and handling marks and rear scope lens has some dings (still usable though). Excellent mechanically with real nice trigger. Has original box as well as all paperwork,18,12,13,37055bfb0f364355,"August 3, 2015 12:34 pm",drjonesphilip,"1,800",,12,"August 3, 2015",,2015,10,215CC5362FAFD5E9242A4C87DB493DE5C25D788FCEB632FA2ABF114D7FC75AF7.html
GLOCK 23 GEN 4 (CUSTOM),No Tags,No other ads by this poster found.,39047,"Im selling a like new (less than 500 rounds fired) custom Glock 23 Gen 4. It was stippled and had frame mods done by Modern Outfitters in Meridian, MS. The gun is in Excellent shape. Ive also had all the factory trigger springs swapped out with Ghost Inc. giving the gun a smoother, lighter trigger. I still have all OEM springs that will be sold with the gun. The gun comes in the original case with all unopened books, cleaning kit, etc.   Comes with 3 OEM Glock magazines  About 250 rounds of ammo.",82,13,12,915625325de6ddb,"October 19, 2015 12:13 pm",elijahblake,700,,12,"October 19, 2015",,2015,10,23397B1C9DD6C1340BA806301817EE5F992861F6649078115565E84B58BDB95B.html
Browning 7 Mag,No Tags,No other ads by this poster found.,39208,"I have a Browing 7 Mag (Safari Long Track) for sale. I paid $4,000 for it and the scope,  But will sale for $3,200 cash or trade. The scope on it is a Zeiss Victory HT. I will trade for a 4 door truck of the same or greater value only. Contact me at 6012013456 for further information.",61,12,13,61955f83fc625a61,"September 15, 2015 10:08 am",Jimmy,"3,200",,12,"September 15, 2015",,2015,7,36BBC8E960D53D4EC6B317F3B78E92C6D41C7F1CA340076641641AAEF2322334.html
Zeiss Victory HT Scope 2.5/10/50,No Tags,Browning 7 Mag,39208,"I have a Zeiss Victory HT scope for sale. I paid $2,000 for it but I\m only asking for $1,300. The scope is brand new, it hasn\t even been sighted in yet. I also still have the original packaging/box for it. Call or text me at 6012013456 for more information.",81,13,12,5995623e584277d1,"October 18, 2015 12:36 pm",Jimmy,"1,300",,12,"September 15, 2015",,2015,12,52885D884899D960CDD82F10E2E5266675106A95E3AE105E8205901241399C83.html
.50 Beowulf,No Tags,No other ads by this poster found.,39047,"I have an Alexander arms .50 beowulf upper with two magazines . Also has a countersniper military optic on top. It has inside range finder with black, green, or red crossmarks. I will also throw in 140 rounds. The upper will fit on most ar15 lowers. I had it sitting on a spikes tactical lower and had no problems. All this is around 1700 but Im only asking 1000. If you would like to know anything else you can text (preferably) or call me at 6014217730.",,17,15,66555a0180859c65,"July 10, 2015 1:21 pm",jchilders1,"1,000",,16,"July 10, 2015",,2015,,61FF78E892F23BD5BA6E2E84B899452106B162C5D3C18E98E18F7795303D0BC2.html
Stainless Steal Tactical Bolt Knobs, hunting   shooting.long range   tactical bolt knobs   tacticle accessories,No other ads by this poster found.,39144,"Our tactical bolt knobs are made from 316 stainless. One of the most durable and corrosion resistant of all stainless steels.As we build these knobs custom, you can have them in nearly any length and diameter you desire. Grip surfaces can be horizontal groove, vertical groove, knurled, octagonal ,or nearly any combination thereof. They can also be made hollow or solid. Finished can be polished or bead blast matte.Our bolt knobs cost $50.00 plus shipping or you can send us your bolt and we will install it for you for an additional $30.00. For an additional $20.00 we can have the Confederate Battle Flag laser engraved on the flat end of the knob.",5,17,15,70055a57e7489719,"July 14, 2015 3:58 pm",sumgycustomfirearms,50,,16,"July 14, 2015",,2015,13,64FB1A901ED43B06CCC0ED75E050A38D28D7AB53D110FA455F29D3A4BBEF7AD7.html
