0003,001068,001236,001267,001298,2701270,991062,Appears1100,Boots1331,Citori1239,Copyright1423,Description1191,Expires1091,Kansas1264,Kansas1294,Kansas1324,Listings1232,Reduced1301,Send0933,file_name,set1328
JD 38 Silage Cutter,Hays,jD 936D and stud king 38,Silage packing tractor,JD Crop Dividers,Colby,"3,700",,Assari,Coats,2015,,"1,460",100.00 per set,100,"17,500","33,500",Beloit,nlstaab21,023E168CF5EB531396290A2890F2D124C4D45BD4568741D17E0CEACDD12D9E8A.html,JD 853A 1986 ROW CROP HEAD.
Honda 450 R - NO TRADES!,Larned,1986 Honda 450 nighthawk,(PRICE REDUCED) HONDA TRX 450 2007,2003 Honda CRF 450 R MUST SELL!,Hoisington,"2,750",,Collyer,Ellis,2015,,409,0.00,"1,800","3,500","1,000",Stockton,KRS2010,0324F87CE344D72335B4A6BCB6963C4AC608365A8F91EF456CD8B9D4A549CE52.html,450 Honda 2004
Very nice 4 bedroom 3 bath home for sale in Ellis,1908 Maple   Ellis,3 Bedroom 2 Bath Ranch Home - Stockton,"FOR SALE: 3 bedroom/3 bath home - Norton, Kansas","Real nice home on 3 acres in Ellis, KS",Norton,"235,900",,Quinter,Stockton,2015,"Home has four bedrooms three baths, 2 car garage, breakfast nook, as well as a formal dining room. Nice family room with bar in the basement. 1655 square-foot on the main level and another 1655 square-foot in the basement. Other extras include a large master bedroom with a master bath that includes two sinks, toilet, shower, and a large Jacuzzi tub. 2 fireplaces with granite bases, a deck and large walk out basement patio, stove, refrigerator, dishwasher, two washers and two dryers. Underground sprinklers, water softener with reverse osmosis system, a Rinnai water heater","4,041",0.00,"130,000","130,000","130,000",Ellis,AllenWeber,08AEBE944BFD50C4E697513976C5A82BC1A65CD51BB65A9BD2F2030F7495AE44.html,4 Bedroom  2 1/2 Bath House
Toyota 22R 22RE 2.4 Engine. Motor. Longblock.,Dorrance   Russell,Toyota 3RZ-FE rebuildable engine (1996 Tacoma 4X4),CHEVY V8 350 BUILT CAMMED ENGINE CRATE MOTOR HOT ROD,BFG Mud Terrain Tires 33 x 10.50 x 15 on Toyota or Chevy 6 ,Hays,250,,Hays,Salin,2015,,620,"3,000.00 each",175,100,300,Russell,SrpntHn,0A099F2B26074D58022E4623926540D81532FA1AB15E477A3AA5756D5FCFD358.html,Engine-motor stand
Led Light Bars and led headlight conversion,13   Great Bend,led headlight conversion,LED Light Bars BetterBuilt,led light bars,Grainfield,1,,Victori,Radium,2015,"LED light bars in many sizes also custom mounts dont buy the cheap bars  20in Led spot/flood combo bars start at $125  big savings over other sellers! many other sizes too  they are cree led, beware of cheap imitations, others claim the best but fall short!  Also have curved light bars, single row bars, pods, home led lighting and much more","6,294",80.00,50,180,0,Hays,NicR,0BFDB733F21D213BAADB89E6B2B17D1E9A7D4947A49BA8D05F3F8608C7F71F8E.html,52 Straight LED Light Bar
SBC Intake,WaKeeney,Sbc weiland intake,aluminium 2 barrel SBC intake and car,SBC Heads,Belleville,150,,Hays,Grainfield,2015,,18,50.00,50,20,70,Ellis,jpreinert2585,0CB88FAADA4D2AE45B0AB77DFED2F2FB8FD1D2C40EE1617869CE8849859CA405.html,Small block Chevy intake
BLING Earrings,Great Bend,Earrings,Never Worn Dream Catcher Earrings,14k White Gold Pearl  Diamond Earring!!,Hays,4,,Hays,Grainfield,2015,,69,8.00,150,7,3,Ness City,dmhejny,0D1D6353603647921CAE772061E1B6FFD3B1C0DFC36938F29B63A8D079B5D976.html,Necklaces and earrings
BAJA Go-Kart,Dodge City,Murray Outrage Go Kart,Race Go Kart,"Motorized wheelbarrow, go kart",Belleville,300,,Garden City,Jetmore,2015,"196cc Baja Go-Kart purchased new 8 years ago for $600.00. It has been used by all four of my children, but now it is time for Mom and I to get something bigger that we can ride. The go-kart is in good working order with a new centrifugal clutch. It has the on/off switch on the steering wheel instead of the engine. When I moved the switch it disconnected the lights but they didnt work because the kids broke them, but everything else is good. Cash only. text me for more information or if interested.",53,400.00 each,"1,700","34,500",450,"Kearney, Nebraska                 $34,500.00   Baja 275 boss   Garden City",bflax65,0FA6519AB9212E9A8B9E366DA35ACED9B60E2C4CE7E66B64DD738C564F3CCB59.html,Baja 275 boss
Bucket Truck Attachment,Fowler,Bucket Truck,Skidsteer Attachments,Garden Bucket Caddy Apron,Plainville,500,,Oakley,Syracuse,2015,Bucket truck attachment to go on truck frame. The unit is ran off of PTO on the truck and is hydraulic and cable driven. Has controls at base and up in bucket. Will go 35 high. Would be very handy if you had a truck to mount it on.  Truck in picture is also for sale.  $500 or best offer  Call or text 620-255-6097,639,0.00,10,"2,500","5,800",Hays,timmymilford,1447046BBFBC0E7CFCE2B6EA60A14B8155E5016D83812B7E723B69A7DF6066D6.html,Skidsteer bucket with Grapple
55 Akai flat screen TV,Hays,46 Flat Screen TV,50 inch Element Flat screen TV,Very Nice 53 Pioneer split screen TV BEST CASH OFFER,Hays,50,,Solomon,Colby,2015,,43,250.00,300,150,475,Hays,WeyDav,1EB0CEE627D74230C99ACEB8AF72161B9CB9C32B4F7851673AF523B0DF165493.html,32 Toshiba Flat Screen LCD 720HD TV Like new Used 1 month
