0040,28in0804,9814d30e0506af141184,Ads0774,Binoculars0697,Description1188,Details1155,ID1174,Listed1161,Parts0699,Reply1230,Shotguns0838,Since0810,Sum1486,Tweet0990,dsturnerville0828,file_name,new1218,onto0834
Freedom Arms 454 Casull,yeowie1,No ad details found.,   Guns for Sale    Revolvers   Freedom Arms 454 Casull,Black Powder   Gun Parts and Accessories   Gun Storage   Guns for Sale   Gunsmithing Tools   Handgun Ammunition   Handgun Parts   Holsters   Laser Sights   Magazines   Misc   Night Vision   Optics   Part Kits   Pistols   Red Dot Sights   Reloading,"Freedom Arms 454 Casull,4 slice magna porting done,Pacymer grip, Leopold 4x scope. With custom leather holster.", No ad details found.,86650906216c058c,"October 30, 2012 11:35 pm",Revolvers   Rifle Ammunition   Rifle Parts   Rifle Scopes   Rifles   Rimfire   Shotgun Parts,Click here to cancel reply.,325,"January 6, 2014",2015,$ 1850,"on October 30, 2012",03273E3930D395746816180D077F6DE17464EA24881EBCEA37408C9DE58952CE.html,"div id=""respond",Revolvers
Buy Umarex XBG Air Pistols,gunsandsupply,No ad details found.,   Guns for Sale    Pistols   Buy Umarex XBG Air Pistols,Black Powder   Gun Parts and Accessories   Gun Storage   Guns for Sale   Gunsmithing Tools   Handgun Ammunition   Handgun Parts   Holsters   Laser Sights   Magazines   Misc   Night Vision   Optics   Part Kits,"If you are sport persons, hobby for hutting, shooting and camping you contact at 888-745-2080 and buy Umarex XBG Air Pistols from Midwest Shooting Sports and Supply LLC at affordable price.    For more information visit our website www.gunsandsupply.com", No ad details found.,6553d3851707441,"July 26, 2014 10:51 am",Pistols   Red Dot Sights   Reloading   Revolvers   Rifle Ammunition   Rifle Parts   Rifle Scopes   Rifles   Rimfire   Shotgun Parts,Click here to cancel reply.,300,"July 26, 2014",2015,25.82,"on July 26, 2014",1036E5A9CFB72BD8D4B7F98DFF8A2D78AD585B8034892D17096F7F78C9C69EF4.html,"div id=""respond",Pistols
Molle Plate Carrier With level IV Plates,eastsidepb,,      Misc      Molle Plate Carrier With level IV Plates,Black Powder   Gun Parts and Accessories   Gun Storage   Guns for Sale   Gunsmithing Tools   Handgun Ammunition   Handgun Parts   Holsters   Laser Sights   Magazines,Molle Plate Carrier With FOUR level IV Plates  WITH TWO EXTRA SIDE PLATE CARRIERS  Please Contact us at (954) 527-2508 or by email at EASTPB@BELLSOUTH.NET FOR ADDITIONAL PICTURES AND DETAILS OF THE ITEM. Florida resident must pay sales tax on any item sold. WE WOULD LIKE TO EARN A POSITIVE FEEDBACK AND REPEAT BUSINESS FROM YOU. THANK YOU AND HAVE A GREAT DAY,   Zip/Postal Code:  33316   City:  Fort Lauderdale   State:  Florida,36153a319be51ac0,"June 19, 2014 5:26 pm",Misc   Night Vision   Optics   Part Kits   Pistols   Red Dot Sights   Reloading   Revolvers   Rifle Ammunition   Rifle Parts   Rifle Scopes   Rifles   Rimfire   Shotgun Parts,Cancel Reply,603,"June 19, 2014",2015,699.99,"on June 19, 2014",10DDDF7BF34D55FA9BA85C45EDE23167AF1B7DBCCD8542958B973744BA793D61.html,"div id=""respond",Misc
DPMS AR15 Magpul Equipped Stock Handguard Grip,dealerinallguns,No ad details found.,   Guns for Sale    Rifles   DPMS AR15 Magpul Equipped Stock Handguard Grip,Black Powder   Gun Parts and Accessories   Gun Storage   Guns for Sale   Gunsmithing Tools   Handgun Ammunition   Handgun Parts   Holsters   Laser Sights   Magazines   Misc   Night Vision   Optics   Part Kits   Pistols   Red Dot Sights   Reloading   Revolvers   Rifle Ammunition   Rifle Parts   Rifle Scopes,"This Package Includes the Following:   Magpul MOE Stock   Magpul Plus Grip   Magpul Handguard   (1) 30rd Magazine from DPMS   (1) 30rd Magpul Magazine   16 Barrel, Collapsible Stock   ADD Flip UP Sights, Front/Rear for Additional $49   OR ADD UTG Red/Green Circle Dot Optic for $55", No ad details found.,1535387ae793f860,"May 29, 2014 10:08 pm",Rifles   Rimfire   Shotgun Parts,Click here to cancel reply.,592,"May 29, 2014",2015,700.00,"on May 29, 2014",1656F03B213A30E04146D7B083DC6AE271EE3EFAE8F2CF3F0D8C218EF5E876AF.html,"div id=""respond",Rifles
380 Auto FMJ NEW,wgp8435,No ad details found.,   Ammunition    Handgun Ammunition   380 Auto FMJ NEW,Black Powder   Gun Parts and Accessories   Gun Storage   Guns for Sale   Gunsmithing Tools,9 boxes of NEW Tula with steel casing. 50/rds per box. $77 ($8.50/per box) 210 367 0593, No ad details found.,1394eeb9a90b060a,"December 16, 2011 7:24 pm",Handgun Ammunition   Handgun Parts   Holsters   Laser Sights   Magazines   Misc   Night Vision   Optics   Part Kits   Pistols   Red Dot Sights   Reloading   Revolvers   Rifle Ammunition   Rifle Parts   Rifle Scopes   Rifles   Rimfire   Shotgun Parts,Click here to cancel reply.,75,"January 5, 2014",2015,$77 for 9 boxes,"on December 16, 2011",182B0F5E93A389D1330B56F009CAE10BF9742C53AB79A30B75FF2974A0EDD9A4.html,"div id=""respond",Handgun Ammunition
Blackhawk Serpa Concealment Sportster Holster 00,DravesArchery,No ad details found.,   Gun Parts and Accessories    Holsters   Blackhawk Serpa Concealment Sportster Holster 00,Black Powder   Gun Parts and Accessories   Gun Storage   Guns for Sale   Gunsmithing Tools   Handgun Ammunition   Handgun Parts,"Holds Glock 26/27/33    Developed for civillian concealed carry and range use, but still has great patented Serpa design   Traditional polymer material construction found in other injection molded holsters   Comes with Paddle Platform only", No ad details found.,9355344271fa6637,"April 8, 2014 4:46 pm",Holsters   Laser Sights   Magazines   Misc   Night Vision   Optics   Part Kits   Pistols   Red Dot Sights   Reloading   Revolvers   Rifle Ammunition   Rifle Parts   Rifle Scopes   Rifles   Rimfire   Shotgun Parts,Click here to cancel reply.,109,"April 8, 2014",2015,32.99,"on April 8, 2014",2F6EDF1A3179EA4D82B19E17A4BF1B39CB33BC828D13C38289137AF5B0A5D26E.html,"div id=""respond",Holsters
AR-15 COLT A-2 MODEL,constamaldo123,No ad details found.,   Guns for Sale    Rifles   AR-15 COLT A-2 MODEL,Black Powder   Gun Parts and Accessories   Gun Storage   Guns for Sale   Gunsmithing Tools   Handgun Ammunition   Handgun Parts   Holsters   Laser Sights   Magazines   Misc   Night Vision   Optics   Part Kits   Pistols   Red Dot Sights   Reloading   Revolvers   Rifle Ammunition   Rifle Parts   Rifle Scopes,AR-15 COLT A-2 MODEL GOVERMENT IN EXCELLENT COND.WORTH ABOUT $3000, No ad details found.,83850f05c7e47a64,"January 11, 2013 6:42 pm",Rifles   Rimfire   Shotgun Parts,Click here to cancel reply.,114,"January 5, 2014",2015,"2,000.00","on January 11, 2013",2FCC6B3C7ABCA0B50F39E43AD45EAA71A03D83DD14743A4875D17C0A53EB9440.html,"h2 class=""dotted"">No Responses to  AR-15 COLT A-2 MODEL                   J4  on  January 25, 2013 @ 5:12 am           Hey, seen you have posted this a few times. If you want to make a deal with more pics, stats, Id be more interested. Gonna be another 13 days before I get paid, but am very interested         Reply",Rifles
Ruger 10/22 carbine,grandewhit,No ad details found.,   Guns for Sale    Rifles   Ruger 10/22 carbine,Black Powder   Gun Parts and Accessories   Gun Storage   Guns for Sale   Gunsmithing Tools   Handgun Ammunition   Handgun Parts   Holsters   Laser Sights   Magazines   Misc   Night Vision   Optics   Part Kits   Pistols   Red Dot Sights   Reloading   Revolvers   Rifle Ammunition   Rifle Parts   Rifle Scopes,nice 10/22 wood stock blued steel junky scope with see thru mounts its about 20 yrs old but in great shape $185,   This item has been sold   No ad details found.,4234f821fd868afc,"April 8, 2012 11:36 pm",Rifles   Rimfire   Shotgun Parts,Click here to cancel reply.,106,"January 5, 2014",2015,185.00,"on April 8, 2012",35728A97E3369966FD148220212ECF3BC439E06AA3735A796282F7EC091845EE.html,"h2 class=""dotted"">No Responses to  Ruger 10/22 carbine                   Tim  on  April 15, 2012 @ 2:58 am           Do you still have the Ruger? If so, would you be available Sunday (tomorrow)? You can call my cell phone: 214-208-2163 (though I have very bad reception where I am) or a local number: 903-734-7496. Thanks.         Reply",Rifles
beretta 96a1,jordan23,No ad details found.,   Guns for Sale   beretta 96a1,Black Powder   Gun Parts and Accessories   Gun Storage,"I have a beretta 96a1 (40cal) with light rail,and comes with box,paperwork,locks,3-13rd mags. Gun has one clip down range. Also has hogue wraparound grips on it,and will include factory ones as well. Want to sell or trade let me know what you got-hk,glock etc. You can text me at 903-467-7793", No ad details found.,7064d7b99a66c1dd,"March 12, 2011 4:08 pm",Guns for Sale   Gunsmithing Tools   Handgun Ammunition   Handgun Parts   Holsters   Laser Sights   Magazines   Misc   Night Vision   Optics   Part Kits   Pistols   Red Dot Sights   Reloading   Revolvers   Rifle Ammunition   Rifle Parts   Rifle Scopes   Rifles   Rimfire   Shotgun Parts,Click here to cancel reply.,94,"January 5, 2014",2015,575.00,"on March 12, 2011",3E60F6332692B8A59F75B8734048092E989C5EA83935EECAD204A7AC7DFC33B5.html,"div id=""respond",Guns for Sale
Harris S-LM Bipod,tbone40x,,      Gun Parts and Accessories      Stocks and Grips      Harris S-LM Bipod,Black Powder   Gun Parts and Accessories   Gun Storage   Guns for Sale   Gunsmithing Tools   Handgun Ammunition   Handgun Parts   Holsters   Laser Sights   Magazines   Misc   Night Vision   Optics   Part Kits   Pistols   Red Dot Sights   Reloading   Revolvers   Rifle Ammunition   Rifle Parts   Rifle Scopes   Rifles   Rimfire   Shotgun Parts   Shotguns,"Harris S-LM Bipod Leg Notch Sling Swivel Stud Mount 9 to 13   Material:   •Aluminum Alloy with some Steel Parts  •Hard Rubber Leg Caps   Finish: Anodized Black   Weight: 14 ounces   Method of Attachment: Attaches to sling swivel stud.   Notes:  •Most suitable for shooting from a bench  •Popular among pistol shooters  •May not fit all guns; adapters available separately   Notes on Leg Extension Method   Leg Notch Models  •These are the models with LM or BRM in the designation  •These legs are spring loaded and when the release button is depresses, they kick out to maximum height   Swivel Models  •These are the models with S in the designation  •Hinged base has tension adjustment and buffer springs to eliminate tremor or looseness  •Available for all models except H models.",   This item has been sold     City:  Hutto   State:  Texas,5134f354731bdf5d,"February 10, 2012 4:53 pm",,Cancel Reply,114,"January 5, 2014",2015,75.00,"on February 10, 2012",41C72B5CDFA18071AB4ABB4B8AA480BDBDD175427E50CB460680CE159CC460CA.html,"div id=""respond",Stocks and Grips
